"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total","Aust"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Upper 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","78.7","na","77.4","74.7","na","na","na","70.3","","76.3"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","80.6","na","80.2","81.2","na","na","na","79.1","","80.6"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","83.8","na","83.5","84.3","na","na","na","83.2","","83.8"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","6.8","na","7.4","12.3","na","na","na","13.5","","8.8"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Males","Lower 95% confidence intervals","","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","5.3","na","6.0","9.7","na","na","na","12.1","","7.1"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Males","Upper 95% confidence intervals","","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","8.3","na","8.8","14.9","na","na","na","14.9","","10.5"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","5.9","na","7.0","11.7","na","na","na","13.8","","8.1"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Females","Lower 95% confidence intervals","","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","4.5","na","5.7","9.5","na","na","na","12.7","","6.5"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Females","Upper 95% confidence intervals","","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","7.3","na","8.3","13.9","na","na","na","14.9","","9.5"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","4.6"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","3.8"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","6.6","..","6.7","12.1","..","..","..","12.6","","8.4"
"CtG1A.1","2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","5.8","..","6.3","11.5","..","..","..","14.0","","7.9"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","72.7","na","72.8","68.0","na","na","na","66.9","","71.5"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Lower 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","71.7","na","71.8","66.7","na","na","na","66.0","","70.7"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Upper 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","73.7","na","73.8","69.3","na","na","na","67.8","","72.3"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","77.1","na","76.9","72.5","na","na","na","69.4","","75.4"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Lower 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","76.2","na","76.0","71.3","na","na","na","68.6","","74.7"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Upper 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","78.0","na","77.8","73.7","na","na","na","70.2","","76.1"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","80.2","na","79.8","80.3","na","na","na","78.2","","80.2"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","83.5","na","83.2","83.8","na","na","na","82.6","","83.4"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","7.5","na","7.0","12.2","na","na","na","11.3","","8.7"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","6.3","na","6.2","11.2","na","na","na","13.2","","8.0"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","6.8"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","5.8"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","7.9","..","8.4","13.1","..","..","..","13.1","","9.4"
"CtG1A.1","2015-17","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","6.8","..","7.4","12.0","..","..","..","13.5","","8.5"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","70.5","na","68.7","65.0","na","na","na","63.4","","69.1"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Lower 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","69.0","na","67.3","63.4","na","na","na","61.3","","67.8"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Upper 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","72.0","na","70.1","66.6","na","na","na","65.5","","70.4"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","74.6","na","74.4","70.2","na","na","na","68.7","","73.7"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Lower 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","73.3","na","73.2","68.8","na","na","na","66.8","","72.5"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Upper 95% confidence intervals","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","75.9","na","75.6","71.6","na","na","na","70.6","","74.9"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","79.8","na","79.4","80.1","na","na","na","77.8","","79.7"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","83.1","na","83.0","83.7","na","na","na","83.1","","83.1"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Males","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","9.3","na","10.8","15.1","na","na","na","14.4","","10.6"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Females","","","","Derived from ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","8.5","na","8.6","13.5","na","na","na","14.4","","9.4"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","9.1"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","7.7"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","9.2","..","10.1","14.1","..","..","..","13.5","","10.4"
"CtG1A.1","2010-12","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","7.8","..","8.5","12.6","..","..","..","13.0","","9.1"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","68.3","na","67.1","64.5","na","na","na","61.5","","67.5"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Lower 95% confidence intervals","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","66.3","na","65.6","62.9","na","na","na","60.1","","66.1"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Males","Upper 95% confidence intervals","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","70.3","na","68.6","66.1","na","na","na","62.9","","68.9"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","74.0","na","72.7","70.0","na","na","na","69.4","","73.1"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Lower 95% confidence intervals","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","72.3","na","71.4","68.5","na","na","na","68.1","","71.9"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","All areas","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","Actual","Females","Upper 95% confidence intervals","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","75.7","na","74.0","71.5","na","na","na","70.7","","74.3"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Males","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","78.8","na","78.8","79.2","na","na","na","75.5","","78.9"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Females","Non-Indigenous people","All areas","Estimated life expectancy at birth","","","Non-Indigenous people","Actual","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","82.6","na","82.7","82.9","na","na","na","81.0","","82.6"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","10.5","na","11.8","14.7","na","na","na","14.0","","11.4"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Actual","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","8.6","na","10.0","12.9","na","na","na","11.6","","9.6"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Males","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","11.4"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Trajectory","Females","","","","Derived from ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","..","..","..","..","..","..","..","..","","9.6"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","10.5","..","11.8","15.1","..","..","..","14.0","","11.3"
"CtG1A.1","2005-07 to 2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Estimated annual change","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years/year","-0.26","..","-0.34","-0.20","..","..","..","-0.09","","-0.19"
"CtG1A.1","2005-07 to 2020-22","Life expectancy at birth","All ages","Males","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Assessment of progress","Males","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","Level","1","..","1","1","..","..","..","1","","2"
"CtG1A.1","2005-07","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Linear regression estimates","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years","8.9","..","9.7","13.2","..","..","..","12.4","","9.7"
"CtG1A.1","2005-07 to 2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Estimated annual change","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","years/year","-0.21","..","-0.23","-0.12","..","..","..","0.11","","-0.12"
"CtG1A.1","2005-07 to 2020-22","Life expectancy at birth","All ages","Females","All people","All areas","Estimated life expectancy at birth","","","Difference in estimated life expectancy for Aboriginal and Torres Strait Islander children and non-Indigenous children at birth","Assessment of progress","Females","","","","ABS Experimental Life Tables for Aboriginal and Torres Strait Islander Australians","Level","1","..","1","1","..","..","..","-1","","2"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","Major cities","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","72.5"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","Major cities","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Lower 95% confidence intervals","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","71.3"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Males","Aboriginal and Torres Strait Islander people","Major cities","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Males","Upper 95% confidence intervals","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","73.7"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","Major cities","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","76.5"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","Major cities","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Lower 95% confidence intervals","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","75.4"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Females","Aboriginal and Torres Strait Islander people","Major cities","Estimated life expectancy at birth","","","Aboriginal and Torres Strait Islander people","","Females","Upper 95% confidence intervals","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","77.6"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Males","Non-Indigenous people","Major cities","Estimated life expectancy at birth","","","Non-Indigenous people","","Males","","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","81.0"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Females","Non-Indigenous people","Major cities","Estimated life expectancy at birth","","","Non-Indigenous people","","Females","","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","84.0"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Males","All people","Major cities","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Males","","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","8.5"
"CtG1A.2","2020-22","Life expectancy at birth","All ages","Females","All people","Major cities","Estimated life expectancy at birth","","","Difference between Aboriginal and Torres Strait Islander and non-Indigenous life expectancies at birth","","Females","","Major cities","","ABS Life Tables for Aboriginal and Torres Strait Islander Australians","years","","","","","","","","","","7.5"
