"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG2A.1","2028","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","93.3","90.8","85.3","91.8","93.3","95.3","83.8","90.0"
"CtG2A.1","2028","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","3.2","2.8","6.2","8.4","4.3","11.9","4.8","1.7"
"CtG2A.1","2027","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","90.4"
"CtG2A.1","2027","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","92.9","90.7","85.5","91.5","92.9","94.7","84.0","89.9"
"CtG2A.1","2027","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","2.8","2.5","5.5","7.5","3.8","10.5","4.3","1.5"
"CtG2A.1","2026","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","90.2"
"CtG2A.1","2026","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","92.5","90.6","85.7","91.1","92.6","94.1","84.2","89.8"
"CtG2A.1","2026","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","2.5","2.2","4.8","6.5","3.3","9.2","3.7","1.3"
"CtG2A.1","2025","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","90.1"
"CtG2A.1","2025","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","92.1","90.4","85.9","90.8","92.2","93.5","84.4","89.7"
"CtG2A.1","2025","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","2.1","1.9","4.1","5.6","2.8","7.9","3.2","1.1"
"CtG2A.1","2024","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","89.9"
"CtG2A.1","2024","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","91.7","90.3","86.1","90.5","91.9","92.9","84.5","89.6"
"CtG2A.1","2024","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","1.8","1.6","3.4","4.7","2.4","6.6","2.7","0.9"
"CtG2A.1","2023","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","89.7"
"CtG2A.1","2023","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","91.4","90.1","86.3","90.2","91.5","92.3","84.7","89.5"
"CtG2A.1","2023","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","1.4","1.3","2.8","3.8","1.9","5.3","2.2","0.8"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.5","90.7","89.5","85.1","90.6","91.1","93.7","85.2","89.2"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.8","1.4","0.8","1.4","1.7","2.8","3.6","1.9","0.4"
"CtG2A.1","2022","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.3","94.1","93.9","93.8","94.1","93.2","93.4","93.5","94.1"
"CtG2A.1","2022","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.3","0.7","0.7","1.0","0.1"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","8.0","7.4","9.4","13.7","8.4","8.4","5.1","13.4","9.5"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.7","1.3","0.7","1.4","1.6","2.7","3.3","1.9","0.4"
"CtG2A.1","2022","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.6","4.6","4.7","4.9","4.9","5.4","5.3","5.2","4.7"
"CtG2A.1","2022","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.1","0.2","0.2","0.3","0.3","0.6","0.6","0.9","0.1"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Total births","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","5613","1621","6069","2329","1153","393","175","1294","18647"
"CtG2A.1","2022","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Total births","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","81017","70263","52629","28556","17625","4795","5073","2155","262113"
"CtG2A.1","2022","Birthweight","0 years old","All people","Unknown Indigenous status","All areas","Total births","Actual","Indigenous status not stated","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","3654","753","20","0","0","552","3","6","4988"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","89.6"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","91.0","90.0","86.5","89.9","91.2","91.7","84.9","89.4"
"CtG2A.1","2022","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","1.1","1.0","2.2","2.9","1.5","4.1","1.7","0.6"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","91.1","90.6","87.6","87.7","90.7","90.4","85.3","89.6"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.8","1.4","0.7","1.4","1.9","2.9","4.6","1.9","0.4"
"CtG2A.1","2021","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.5","94.2","94.1","94.0","94.0","92.8","93.6","94.9","94.2"
"CtG2A.1","2021","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.3","0.7","0.7","0.9","0.1"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","8.5","7.2","8.3","11.2","11.1","7.8","6.4","13.1","9.1"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.7","1.3","0.7","1.3","1.8","2.6","3.8","1.8","0.4"
"CtG2A.1","2021","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.3","4.5","4.6","4.8","4.8","5.8","4.9","4.0","4.5"
"CtG2A.1","2021","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.1","0.1","0.2","0.2","0.3","0.6","0.6","0.8","0.1"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Total births","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","5560","1621","5850","2276","1121","397","156","1378","18359"
"CtG2A.1","2021","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Total births","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","88790","75260","54938","30701","18305","5001","5224","2314","280533"
"CtG2A.1","2021","Birthweight","0 years old","All people","Unknown Indigenous status","All areas","Total births","Actual","Indigenous status not stated","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","3433","710","32","0","0","516","9","1","4701"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","89.4"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","90.6","89.8","86.8","89.6","90.8","91.1","85.1","89.3"
"CtG2A.1","2021","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","0.8","0.7","1.6","2.2","1.1","3.1","1.3","0.4"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","89.9","89.5","89.4","88.0","89.8","90.1","87.7","83.8","89.0"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.8","1.6","0.8","1.3","1.8","3.4","5.2","2.0","0.5"
"CtG2A.1","2020","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.3","94.0","93.9","94.0","94.1","92.3","94.1","94.3","94.0"
"CtG2A.1","2020","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.4","0.8","0.7","1.0","0.1"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","8.5","9.3","9.3","10.8","8.4","7.5","10.3","14.6","9.6"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.7","1.5","0.8","1.3","1.7","3.0","4.8","1.9","0.4"
"CtG2A.1","2020","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.5","4.7","4.8","4.7","4.9","6.2","4.7","4.6","4.7"
"CtG2A.1","2020","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.1","0.2","0.2","0.2","0.3","0.7","0.6","0.9","0.1"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Total births","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","5350","1448","5559","2301","1067","294","155","1321","17495"
"CtG2A.1","2020","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Total births","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","83492","71128","51717","28224","16908","4648","5017","2229","263363"
"CtG2A.1","2020","Birthweight","0 years old","All people","Unknown Indigenous status","All areas","Total births","Actual","Indigenous status not stated","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","1733","685","8","0","0","517","2","1","2946"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","89.3"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","90.2","89.7","87.0","89.2","90.5","90.5","85.2","89.2"
"CtG2A.1","2020","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","0.7","0.6","1.3","1.7","0.9","2.4","1.0","0.3"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.4","90.4","89.7","87.7","90.6","90.5","89.4","86.1","89.5"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.8","1.6","0.8","1.4","1.8","3.3","4.5","1.9","0.5"
"CtG2A.1","2019","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.1","93.8","93.7","94.1","94.1","93.2","94.5","94.5","93.9"
"CtG2A.1","2019","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.4","0.7","0.6","1.0","0.1"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","8.2","8.3","9.0","11.5","8.4","8.5","7.8","12.7","9.2"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.7","1.5","0.8","1.3","1.7","3.1","3.9","1.8","0.4"
"CtG2A.1","2019","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","4.6","5.0","5.0","4.9","4.9","5.4","4.3","4.4","4.9"
"CtG2A.1","2019","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of low birthweight (<2500g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.1","0.2","0.2","0.2","0.3","0.6","0.6","0.9","0.1"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Total births","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","5567","1380","5394","2254","1029","305","179","1298","17406"
"CtG2A.1","2019","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Total births","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","86066","73009","52759","29418","17216","4668","5148","2163","270447"
"CtG2A.1","2019","Birthweight","0 years old","All people","Unknown Indigenous status","All areas","Total births","Actual","Indigenous status not stated","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","no.","1487","646","9","0","111","573","3","0","2829"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Trajectory","Aboriginal and Torres Strait Islander children","","","0 years old","","Derived from AIHW (unpublished) National Perinatal Data Collection","%","..","..","..","..","..","..","..","..","89.1"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","90.2","89.8","89.6","87.2","88.9","90.1","89.9","85.4","89.1"
"CtG2A.1","2019","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Linear regression estimates","Aboriginal and Torres Strait Islander children","","","0 years old","95%CI","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.3","0.7","0.6","1.3","1.7","0.9","2.4","1.0","0.3"
"CtG2A.1","2018","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","89.8","89.4","89.5","87.2","87.4","90.8","91.4","85.9","88.9"
"CtG2A.1","2018","Birthweight","0 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Aboriginal and Torres Strait Islander children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.8","1.6","0.8","1.4","2.1","3.4","4.4","1.9","0.5"
"CtG2A.1","2018","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","","AIHW (unpublished) National Perinatal Data Collection","%","94.0","93.8","94.0","94.2","93.7","92.7","94.5","94.6","94.0"
"CtG2A.1","2018","Birthweight","0 years old","All people","Non-Indigenous people","All areas","Live-born singleton babies of healthy birthweight (2500-4499g)","Actual","Non-Indigenous children","","","0 years old","VB","AIHW (unpublished) National Perinatal Data Collection","% (±)","0.2","0.2","0.2","0.3","0.4","0.7","0.6","0.9","0.1"
