"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Description8","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Males","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","97.8","23.4","79.2","32.9","15.8","10.3","np","16.5","278.8"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","Females","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","106.6","26.4","87.9","34.7","16.5","11.3","np","21.3","310.8"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Males","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Males","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","114.2","25.5","88.9","39.1","17.0","11.2","np","25.5","323.4"
"CtG17A.2","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","Females","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people aged 15 years and over","Females","","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","117.6","28.1","94.7","40.2","18.0","12.5","np","28.3","344.1"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","5-14 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","5-14 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","92.8","89.3","93.5","91.3","94.8","105.2","np","72.5","91.1"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","5-14 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","5-14 years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","4.2","6.4","3.7","8.5","11.2","0","np","8.0","2.5"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","15-24 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","15-24 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","100.3","96.8","101.3","100.5","97.1","100.0","np","80.4","98.3"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","15-24 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","15-24 years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","0.7","4.2","0.4","1.0","3.4","0","np","9.3","0.9"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","25-34 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","25-34 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","100.6","100.0","101.3","92.0","98.8","100.0","np","87.8","97.6"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","25-34 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","25-34 years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","0.9","0","1.0","7.4","2.8","0","np","6.4","1.2"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","35-44 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","35-44 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","91.0","91.8","96.9","95.0","103.7","100.0","np","75.0","92.4"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","35-44 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","35-44 years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","7.0","5.9","4.2","3.9","3.4","0","np","7.6","2.8"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","45-54 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","45-54 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","85.0","98.6","90.3","86.2","98.0","86.1","np","53.1","86.9"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","45-54 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","45-54 years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","11.8","5.0","5.2","9.4","5.4","5.4","np","10.2","4.3"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","55-64 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","55-64 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","76.7","91.7","71.2","51.7","81.6","84.6","np","43.3","71.5"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","55-64 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","55-64 years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","8.9","7.1","14.2","23.4","15.3","8.1","np","17.4","6.0"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","65+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","65+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","50.0","55.3","59.6","45.9","41.4","56.3","np","28.9","50.4"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","65+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","","65+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","15.2","20.0","18.0","14.9","28.1","23.0","np","22.5","8.3"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","5-14 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","","5-14 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","71.9","15.1","57.3","23.1","11.0","8.1","np","10.3","196.7"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","15-24 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","","15-24 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","64.7","15.0","53.1","21.8","9.9","6.3","np","11.1","183.2"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","25-34 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","","25-34 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","50.0","12.6","40.0","16.2","7.9","4.2","np","10.8","142.2"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","35-44 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","","35-44 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","32.4","7.8","28.1","13.2","5.6","4.0","np","7.5","97.7"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","45-54 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","","45-54 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","26.7","7.2","24.1","10.0","4.8","3.1","np","4.3","82.4"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","55-64 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","","55-64 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","20.7","5.5","14.8","4.5","3.1","2.2","np","2.6","53.8"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","65+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Has personally used the internet in the last 3 months","","","65+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","11.3","2.6","9.3","2.8","1.2","1.8","np","1.1","30.2"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","5-14 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people","","","5-14 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","77.5","16.9","61.3","25.3","11.6","7.7","np","14.2","215.8"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","15-24 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people","","","15-24 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","64.5","15.5","52.4","21.7","10.2","6.3","np","13.8","186.4"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","25-34 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people","","","25-34 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","49.7","12.6","39.5","17.6","8.0","4.2","np","12.3","145.7"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","35-44 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people","","","35-44 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","35.6","8.5","29.0","13.9","5.4","4.0","np","10.0","105.7"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","45-54 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people","","","45-54 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","31.4","7.3","26.7","11.6","4.9","3.6","np","8.1","94.8"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","55-64 years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people","","","55-64 years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","27.0","6.0","20.8","8.7","3.8","2.6","np","6.0","75.2"
"CtG17A.3","2022-23","People aged 5 years or over who have personally used the internet in the last 3 months","65+ years old","All people","Aboriginal and Torres Strait Islander people","All areas","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Number","Total people","","","65+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","'000","22.6","4.7","15.6","6.1","2.9","3.2","np","3.8","59.9"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Major cities","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","Major cities","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","87.3","98.0","96.9","89.8","95.5","..","np","..","92.5"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Major cities","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","","Major cities","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","4.7","1.5","8.1","8.3","3.7","..","np","..","2.7"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Inner and outer regional","Inner and outer regional","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","88.9","90.5","91.1","85.1","82.5","92.0","np","85.3","89.8"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Inner and outer regional","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Inner and outer regional","Inner and outer regional","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","3.3","5.4","4.2","11.7","17.2","3.8","np","15.0","2.2"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Inner regional","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Inner and outer regional","Inner regional","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","90.4","91.6","90.6","78.8","94.1","97.2","..","..","90.9"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Inner regional","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Inner and outer regional","Inner regional","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","3.9","5.9","8.5","24.8","53.0","0","..","..","3.6"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Outer regional","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Inner and outer regional","Outer regional","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","86.1","86.7","88.0","83.3","86.1","87.0","..","85.3","88.1"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Outer regional","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Inner and outer regional","Outer regional","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","6.8","8.4","4.4","13.4","11.7","10.8","..","15.0","2.8"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Remote and very remote","Remote and very remote","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","81.0","..","83.1","79.1","81.4","69.2","..","63.9","74.9"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Remote and very remote","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Remote and very remote","Remote and very remote","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","7.2","..","6.5","7.4","12.2","np","..","5.6","3.2"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Remote","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Remote and very remote","Remote","15+ years old","","ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","%","80.5","..","83.7","82.0","106.7","69.2","np","71.5","79.8"
"CtG17A.4","2022-23","People aged 15 years or over who have personally used the internet in the last 3 months","15+ years old","All people","Aboriginal and Torres Strait Islander people","Remote","Whether personally used the internet","","Aboriginal and Torres Strait Islander people","Proportion","Has personally used the internet in the last 3 months","Remote and very remote","Remote","15+ years old","95%CI","Derived from ABS (unpublished) National Aboriginal and Torres Strait Islander Health Survey","% (±)","9.0","..","7.3","6.7","0","np","np","3.3","3.6"
