"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG12A.1","2028","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","42.1","101.5","51.0","57.8","99.1","31.2","55.7","24.9","52.8"
"CtG12A.1","2028","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.9","11.6","3.8","1.7","14.1","2.4","14.8","1.7","3.8"
"CtG12A.1","2027","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","33.1"
"CtG12A.1","2027","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","43.1","98.6","49.1","57.8","95.9","31.0","56.2","26.2","52.3"
"CtG12A.1","2027","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","9.9","3.2","1.7","12.1","2.0","12.7","1.4","3.3"
"CtG12A.1","2026","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","34.9"
"CtG12A.1","2026","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","44.0","95.8","47.3","57.8","92.7","30.9","56.7","27.4","51.8"
"CtG12A.1","2026","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","2.8","8.3","2.7","1.7","10.1","1.7","10.6","1.2","2.7"
"CtG12A.1","2025","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","36.7"
"CtG12A.1","2025","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","45.0","92.9","45.4","57.8","89.4","30.7","57.2","28.7","51.3"
"CtG12A.1","2025","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","2.3","6.7","2.2","1.7","8.2","1.4","8.6","1.0","2.2"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","45.1","90.5","42.9","58.3","83.0","30.4","55.3","29.9","50.3"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - March; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","4.6","4.4","4.6","3.1","7.8","5.2","4.4","2.7","4.6"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate ratio","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - March; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","9.8","20.4","9.3","18.7","10.7","5.8","12.7","11.2","10.9"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate difference","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - March; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","40.5","86.1","38.3","55.2","75.2","25.2","50.9","27.2","45.7"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","6312","2867","4961","2766","1744","395","190","750","19985"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","7633","6340","5121","1892","2778","529","416","96","24805"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Unknown Indigenous status","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Children of unknown Indigenous status","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","38","1","10","2","6","16","2","1","76"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","139898","31675","115522","47404","21011","12977","3438","25092","397080"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from ABS National state and territory population - March; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","1658033","1429331","1108538","605490","357664","100915","95411","35942","5392208"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","38.4"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","46.0","90.0","43.5","57.8","86.2","30.6","57.7","30.0","50.8"
"CtG12A.1","2024","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","1.8","5.2","1.7","1.7","6.3","1.1","6.7","0.8","1.7"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","47.3","85.1","41.5","57.5","83.6","30.3","57.3","31.5","50.3"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","4.9","4.6","4.6","3.1","7.8","5.5","5.5","2.6","4.8"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate ratio","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","9.6","18.6","9.0","18.7","10.7","5.5","10.4","12.2","10.6"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate difference","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","42.4","80.5","36.9","54.5","75.8","24.8","51.8","28.9","45.5"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","6563","2668","4722","2709","1752","395","197","797","19803"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","8157","6464","5110","1837","2778","557","526","93","25522"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Unknown Indigenous status","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Children of unknown Indigenous status","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","1","0","0","1","4","23","0","2","31"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","138816","31368","113804","47078","20958","13034","3437","25320","393876"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","1656966","1413920","1102291","597390","356705","101348","95359","36068","5360951"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","40.2"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","47.0","87.2","41.7","57.8","83.0","30.4","58.2","31.2","50.4"
"CtG12A.1","2023","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","1.3","3.9","1.3","1.7","4.8","0.8","5.0","0.6","1.3"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","48.4","83.8","40.2","55.0","81.9","30.0","63.4","31.9","49.9"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","5.2","4.7","4.7","3.1","7.7","6.0","5.0","2.3","4.9"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate ratio","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","9.3","17.8","8.5","17.7","10.7","5.0","12.8","14.0","10.2"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate difference","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","43.2","79.1","35.5","51.9","74.3","24.0","58.5","29.6","45.0"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","6661","2595","4508","2565","1705","391","216","816","19457"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","8562","6529","5141","1827","2709","609","472","83","25932"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Unknown Indigenous status","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Children of unknown Indigenous status","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","0","0","2","2","3","28","0","2","37"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","137563","30955","112038","46600","20811","13046","3405","25556","390034"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","1646025","1389483","1091528","587157","353872","102111","94899","36383","5302372"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","42.0"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","48.0","84.3","39.8","57.8","79.8","30.2","58.7","32.5","49.9"
"CtG12A.1","2022","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","1.0","3.1","1.0","1.7","3.7","0.6","3.9","0.4","1.0"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","50.1","84.1","39.1","58.0","79.5","31.0","59.2","34.1","50.5"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","5.5","4.8","4.8","3.4","7.7","6.4","5.2","2.5","5.1"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate ratio","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","9.1","17.7","8.2","17.1","10.3","4.8","11.5","13.7","10.0"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate difference","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","44.6","79.3","34.3","54.6","71.8","24.5","54.0","31.6","45.5"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","6829","2572","4295","2664","1637","403","200","880","19480"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","9066","6574","5129","1971","2702","656","489","90","26677"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Unknown Indigenous status","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Children of unknown Indigenous status","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","0","0","9","0","27","18","1","0","55"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","136175","30587","109877","45930","20586","13006","3380","25803","385404"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in the population at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","1637930","1382726","1073774","581450","351536","101780","94676","36165","5260951"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Trajectory","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","43.8"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","49.0","81.5","37.9","57.8","76.5","30.1","59.2","33.7","49.4"
"CtG12A.1","2021","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Linear regression estimates","Aboriginal and Torres Strait Islander children","","0-17 years old","95%CI","State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","1.0","3.1","1.0","1.7","3.7","0.6","3.9","0.4","1.0"
"CtG12A.1","2020","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","49.5","81.1","36.3","60.0","74.6","30.0","61.8","35.1","49.3"
"CtG12A.1","2020","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Rate per 1000 children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","5.8","4.8","4.6","3.7","7.4","6.8","5.1","3.2","5.2"
"CtG12A.1","2020","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate ratio","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","ratio","8.6","17.0","7.8","16.4","10.0","4.4","12.0","11.0","9.6"
"CtG12A.1","2020","Children in out-of-home care","0-17 years old","All people","All people","Children aged 0-17 years in out-of-home care at 30 June","Rate difference","Actual","","","0-17 years old","","Derived from State and territory governments (unpublished); ABS National state and territory population - June; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","no.","43.7","76.4","31.7","56.3","67.1","23.2","56.7","31.9","44.1"
"CtG12A.1","2020","Children in out-of-home care","0-17 years old","All people","Aboriginal and Torres Strait Islander people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Aboriginal and Torres Strait Islander children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","6688","2450","3951","2736","1519","389","213","916","18862"
"CtG12A.1","2020","Children in out-of-home care","0-17 years old","All people","Non-Indigenous people","Children aged 0-17 years in out-of-home care at 30 June","Number of children","Actual","Non-Indigenous children","","0-17 years old","","Derived from State and territory governments (unpublished)","no.","9470","6645","4967","2102","2605","690","482","116","27077"
