"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG10A.1","2028","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1883.7","1121.4","2568.1","4019.5","2545.3","871.8","1502.2","3992.4","2465.9"
"CtG10A.1","2028","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","437.3","493.6","337.2","1481.7","493.3","363.4","131.7","591.5","442.6"
"CtG10A.1","2027","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1715.5"
"CtG10A.1","2027","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1846.0","1175.7","2461.4","3912.2","2493.0","849.2","1502.2","3808.8","2395.0"
"CtG10A.1","2027","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","374.7","423.0","288.9","1269.7","422.7","311.4","131.7","506.9","379.3"
"CtG10A.1","2026","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1739.3"
"CtG10A.1","2026","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1808.3","1230.0","2354.7","3804.9","2440.8","826.6","1502.2","3625.3","2324.2"
"CtG10A.1","2026","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","313.2","353.5","241.5","1061.1","353.3","260.3","131.7","423.6","317.0"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1763.1"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1770.6","1284.2","2248.0","3697.6","2388.5","804.0","1502.2","3441.8","2253.4"
"CtG10A.1","2025","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","253.4","286.0","195.4","858.6","285.8","210.6","131.7","342.8","256.5"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1852.6","1362.1","2188.8","4009.7","2472.2","876.1","1670.9","3334.2","2304.4"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","146.2","96.8","175.6","205.4","194.4","163.0","74.8","184.7","147.5"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1787.0"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1733.0","1338.5","2141.3","3590.3","2336.2","781.4","1502.2","3258.3","2182.5"
"CtG10A.1","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","197.0","222.4","151.9","667.5","222.2","163.7","131.7","266.5","199.4"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1566.2","1470.8","2003.0","3305.1","2122.2","733.1","1384.1","3097.8","2041.5"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","151.5","110.8","176.3","192.7","179.7","155.9","77.6","165.4","150.5"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1810.8"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1695.3","1392.8","2034.6","3483.0","2283.9","758.8","1502.2","3074.8","2111.7"
"CtG10A.1","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","147.9","166.9","114.0","501.1","166.8","122.9","131.7","200.1","149.7"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1627.7","1363.3","1833.4","2955.3","2187.4","619.1","1363.3","2827.4","1932.4"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","155.2","117.6","168.4","194.8","183.2","134.5","78.5","173.2","152.0"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1834.6"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1657.6","1447.1","1927.9","3375.7","2231.6","736.2","1502.2","2891.3","2040.9"
"CtG10A.1","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","115.8","130.7","89.3","392.3","130.6","96.2","131.7","156.6","117.2"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1647.8","1476.0","1920.8","3184.2","2224.0","701.7","1476.3","2644.0","1987.8"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","168.8","131.2","186.1","211.7","193.1","140.0","79.6","185.6","166.1"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1858.4"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1619.9","1501.3","1821.2","3268.4","2179.4","713.7","1502.2","2707.8","1970.0"
"CtG10A.1","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","115.8","130.7","89.3","392.3","130.6","96.2","131.7","156.6","117.2"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1534.5","1427.7","1687.5","3205.0","2137.8","695.9","1629.6","2372.2","1860.5"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","165.0","129.1","161.5","216.5","188.6","146.5","94.8","191.3","160.0"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1882.3"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1582.2","1555.6","1714.5","3161.1","2127.1","691.1","1502.2","2524.3","1899.2"
"CtG10A.1","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","147.9","166.9","114.0","501.1","166.8","122.9","131.7","200.1","149.7"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1603.8","1745.3","1613.7","3272.9","2089.5","723.7","1489.2","2521.8","1906.1"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","177.3","149.6","171.3","227.7","182.1","162.0","106.3","212.7","172.7"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Trajectory","Aboriginal and Torres Strait Islander people","","","18+ years old","","Derived from ABS Prisoners in Australia","rate (AS)","..","..","..","..","..","..","..","..","1906.1"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1544.5","1609.9","1607.8","3053.8","2074.8","668.5","1502.2","2340.8","1828.4"
"CtG10A.1","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Linear regression estimates","Aboriginal and Torres Strait Islander people","","","18+ years old","95%CI","ABS Prisoners in Australia","rate (AS) (±)","197.0","222.4","151.9","667.5","222.2","163.7","131.7","266.5","199.4"
"CtG10A.1","2019 to 2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Estimated annual change","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)/year","37.68","-54.27","106.70","107.30","52.28","22.59","0","183.50","70.83"
"CtG10A.1","2019 to 2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Assessment of progress","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","Level","-1","1","-1","-1","-1","-1","0","-1","-1"
"CtG10A.1","2019 to 2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Confidence in assessment of progress","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","Level","Low","High","High","Low","High","Low","High","High","High"
"CtG10A.1","2018","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1611.3","1439.3","1563.6","3357.1","2050.7","534.6","1744.6","2619.5","1888.2"
"CtG10A.1","2018","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","186.5","147.1","179.7","224.3","196.9","153.9","112.1","201.2","177.1"
"CtG10A.1","2017","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1556.6","1288.5","1569.7","3138.3","2167.0","642.6","1405.3","2406.7","1823.4"
"CtG10A.1","2017","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","180.9","141.1","171.0","229.3","200.0","150.3","110.8","180.1","172.4"
"CtG10A.1","2016","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","1493.9","1194.7","1437.6","3049.7","1808.5","432.6","1803.7","2509.6","1728.9"
"CtG10A.1","2016","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","Age-standardised imprisonment rate per 100000 adults at 30 June","Actual","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","rate (AS)","177.5","131.8","158.6","213.7","205.6","150.0","108.4","182.3","165.4"
"CtG10A.2","2024","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","4188","729","4243","3507","851","194","134","2023","15871"
"CtG10A.2","2024","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","8706","5015","6637","4303","2494","606","273","261","28294"
"CtG10A.2","2024","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","52","174","0","4","1","1","14","0","238"
"CtG10A.2","2023","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3510","812","3801","2867","726","169","102","1860","13852"
"CtG10A.2","2023","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","8788","5520","6424","3844","2272","580","268","241","27942"
"CtG10A.2","2023","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","19","109","0","0","0","0","5","0","133"
"CtG10A.2","2022","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3606","695","3410","2521","743","143","96","1683","12902"
"CtG10A.2","2022","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","8754","5703","5962","3755","2251","489","280","247","27446"
"CtG10A.2","2022","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","13","166","0","0","61","0","3","0","244"
"CtG10A.2","2021","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3597","768","3479","2664","744","152","98","1540","13039"
"CtG10A.2","2021","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","9515","6318","6480","4051","2364","491","273","259","29760"
"CtG10A.2","2021","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","14","160","0","0","0","0","0","0","166"
"CtG10A.2","2020","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3335","722","3038","2666","701","145","116","1371","12092"
"CtG10A.2","2020","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","9384","6350","5617","4105","2286","526","331","264","28872"
"CtG10A.2","2020","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","11","80","0","0","0","0","0","0","92"
"CtG10A.2","2019","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3434","840","2873","2680","681","140","104","1443","12195"
"CtG10A.2","2019","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","10011","7248","5903","4255","2178","553","362","294","30805"
"CtG10A.2","2019","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","11","11","0","0","0","0","7","0","35"
"CtG10A.2","2018","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3344","691","2745","2710","661","115","110","1477","11849"
"CtG10A.2","2018","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","10390","6969","6095","4161","2326","501","364","279","31095"
"CtG10A.2","2018","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","10","8","0","0","0","0","19","0","31"
"CtG10A.2","2017","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3197","610","2724","2514","706","117","95","1349","11307"
"CtG10A.2","2017","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","9940","6535","5758","4230","2327","480","344","253","29870"
"CtG10A.2","2017","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","11","5","0","0","0","0","9","0","16"
"CtG10A.2","2016","Age-standardised imprisonment rate","18+ years old","All people","Aboriginal and Torres Strait Islander people","People in prison custody at 30 June","","Aboriginal and Torres Strait Islander people","","","18+ years old","","ABS Prisoners in Australia","no.","3037","535","2461","2403","571","92","105","1393","10596"
"CtG10A.2","2016","Age-standardised imprisonment rate","18+ years old","All people","Non-Indigenous people","People in prison custody at 30 June","","Non-Indigenous people","","","18+ years old","","ABS Prisoners in Australia","no.","9586","5979","5281","3927","2381","476","328","270","28216"
"CtG10A.2","2016","Age-standardised imprisonment rate","18+ years old","All people","Unknown Indigenous status","People in prison custody at 30 June","","Unknown Indigenous status","","","18+ years old","","ABS Prisoners in Australia","no.","13","9","0","0","0","0","9","0","26"
"CtG10A.3","2024","Imprisonment rate","18+ years old","Males","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","","Aboriginal and Torres Strait Islander people","Males","","18+ years old","","ABS Prisoners in Australia","rate (AS)","3385.9","2546.7","3866.3","6723.9","4376.1","1701.1","3275.7","6256.5","4133.9"
"CtG10A.3","2024","Imprisonment rate","18+ years old","Females","Aboriginal and Torres Strait Islander people","Age-standardised imprisonment rate per 100000 adults at 30 June","","Aboriginal and Torres Strait Islander people","Females","","18+ years old","","ABS Prisoners in Australia","rate (AS)","318.6","97.3","502.5","1020.8","517.7","167.2","260.8","389.3","460.6"
