"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Total_5juris","Total_6juris","Aust"
"CtG14A.1","2026","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","4.6",""
"CtG14A.1","2025","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","14.1",""
"CtG14A.1","2025","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","32.0",""
"CtG14A.1","2025","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","3.8",""
"CtG14A.1","2024","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","15.4",""
"CtG14A.1","2024","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","30.7",""
"CtG14A.1","2024","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","3.1",""
"CtG14A.1-CtG14A.2","2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","30.2","30.8",""
"CtG14A.1-CtG14A.2","2023","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","11.3","11.1",""
"CtG14A.1","2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","265",""
"CtG14A.1","2023","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","2819",""
"CtG14A.1","2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","16.8",""
"CtG14A.1","2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","29.5",""
"CtG14A.1","2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","2.4",""
"CtG14A.1-CtG14A.2","2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","27.2","27.8",""
"CtG14A.1-CtG14A.2","2022","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.0","11.6",""
"CtG14A.1","2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","238",""
"CtG14A.1","2022","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","2866",""
"CtG14A.1","2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","18.2",""
"CtG14A.1","2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","28.3",""
"CtG14A.1","2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","1.8",""
"CtG14A.1-CtG14A.2","2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","24.8","25.3",""
"CtG14A.1-CtG14A.2","2021","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.1","11.4",""
"CtG14A.1","2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","220",""
"CtG14A.1","2021","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","2805",""
"CtG14A.1","2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","19.5",""
"CtG14A.1","2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","27.1",""
"CtG14A.1","2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","1.4",""
"CtG14A.1-CtG14A.2","2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","25.7","26.2",""
"CtG14A.1-CtG14A.2","2020","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.1","11.4",""
"CtG14A.1","2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","223",""
"CtG14A.1","2020","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","2773",""
"CtG14A.1","2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","20.9",""
"CtG14A.1","2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","25.9",""
"CtG14A.1","2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","1.4",""
"CtG14A.1-CtG14A.2","2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","24.6","25.4",""
"CtG14A.1-CtG14A.2","2019","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","13.0","12.3",""
"CtG14A.1","2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","218",""
"CtG14A.1","2019","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","2947",""
"CtG14A.1","2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","22.2",""
"CtG14A.1","2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","24.7",""
"CtG14A.1","2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","1.8",""
"CtG14A.1-CtG14A.2","2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","22.7","23.6",""
"CtG14A.1-CtG14A.2","2018","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.7","12.0",""
"CtG14A.1","2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","196",""
"CtG14A.1","2018","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","","2831",""
"CtG14A.1","2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Trajectory","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","Derived from ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","23.6",""
"CtG14A.1","2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","","23.5",""
"CtG14A.1","2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Linear regression estimates","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","95%CI","ABS (unpublished) Causes of Death Australia","rate (AS) (±)","","","","","","","","","","2.4",""
"CtG14A.1","2018 to 2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Estimated annual change","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","rate (AS)/year","","","","","","","","","","1.21",""
"CtG14A.1","2018 to 2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Assessment of progress","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","Level","","","","","","","","","","-1",""
"CtG14A.1","2018 to 2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Confidence in assessment of progress","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","75% reduction","","","ABS (unpublished) Causes of Death Australia","Level","","","","","","","","","","High",""
"CtG14A.2","2023","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","239","",""
"CtG14A.2","2023","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2085","",""
"CtG14A.2","2022","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","213","",""
"CtG14A.2","2022","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2152","",""
"CtG14A.2","2021","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","198","",""
"CtG14A.2","2021","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2157","",""
"CtG14A.2","2020","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","201","",""
"CtG14A.2","2020","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2116","",""
"CtG14A.2","2019","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","195","",""
"CtG14A.2","2019","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2243","",""
"CtG14A.2","2018","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","174","",""
"CtG14A.2","2018","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2172","",""
"CtG14A.2","2017","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","21.9","",""
"CtG14A.2","2017","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","13.2","",""
"CtG14A.2","2017","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","165","",""
"CtG14A.2","2017","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2235","",""
"CtG14A.2","2016","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","21.3","",""
"CtG14A.2","2016","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","11.7","",""
"CtG14A.2","2016","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","160","",""
"CtG14A.2","2016","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1939","",""
"CtG14A.2","2015","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","21.8","",""
"CtG14A.2","2015","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.8","",""
"CtG14A.2","2015","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","154","",""
"CtG14A.2","2015","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","2104","",""
"CtG14A.2","2014","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","20.2","",""
"CtG14A.2","2014","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","12.1","",""
"CtG14A.2","2014","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","148","",""
"CtG14A.2","2014","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Number","Non-Indigenous people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","1965","",""
"CtG14A.2","2013","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Rate per 100000 people","Aboriginal and Torres Strait Islander people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","20.2","",""
"CtG14A.2","2013","Mortality due to suicide","All ages","All people","Non-Indigenous people","All areas","Suicide deaths","Actual","Rate per 100000 people","Non-Indigenous people","All people","","","","ABS (unpublished) Causes of Death Australia","rate (AS)","","","","","","","","","11.2","",""
"CtG14A.2","2013","Mortality due to suicide","All ages","All people","Aboriginal and Torres Strait Islander people","All areas","Suicide deaths","Actual","Number","Aboriginal and Torres Strait Islander people","All people","","","","Derived from ABS (unpublished) Causes of Death Australia","no.","","","","","","","","","140","",""
