"Table_Number","Year","Measure","Sex","Indigenous_Status","Remoteness","Description1","Description2","Description3","Description4","Description5","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG4A.1","2026","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","47.4"
"CtG4A.1","2026","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","35.2","36.1","34.9","31.0","29.7","32.9","24.1","16.0","33.3"
"CtG4A.1","2025","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","45.9"
"CtG4A.1","2025","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","36.1","36.0","34.7","31.0","29.7","33.6","24.4","16.3","33.6"
"CtG4A.1","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","37.2","35.8","34.6","31.0","28.7","33.3","24.1","16.9","33.9"
"CtG4A.1","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Non-Indigenous children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","55.6","54.2","53.6","54.7","54.4","50.8","44.6","48.3","54.3"
"CtG4A.1","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","44.3"
"CtG4A.1","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","36.9","35.9","34.6","31.1","29.7","34.3","24.8","16.5","33.8"
"CtG4A.1","2023","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","42.8"
"CtG4A.1","2023","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","37.7","35.8","34.4","31.1","29.7","35.0","25.2","16.7","34.0"
"CtG4A.1","2022","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","41.3"
"CtG4A.1","2022","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","38.6","35.6","34.2","31.2","29.7","35.7","25.6","16.9","34.2"
"CtG4A.1","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","38.8","35.6","33.8","31.3","31.3","38.3","27.3","16.4","34.3"
"CtG4A.1","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Non-Indigenous children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","56.7","57.7","53.2","59.5","54.9","54.3","48.0","49.8","56.2"
"CtG4A.1","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","39.8"
"CtG4A.1","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","39.4","35.5","34.0","31.2","29.7","36.4","26.0","17.1","34.5"
"CtG4A.1","2020","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","38.2"
"CtG4A.1","2020","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","40.2","35.4","33.8","31.3","29.7","37.1","26.3","17.3","34.7"
"CtG4A.1","2019","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","36.7"
"CtG4A.1","2019","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","41.1","35.3","33.6","31.3","29.7","37.8","26.7","17.6","34.9"
"CtG4A.1","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","42.2","35.1","33.5","31.4","29.0","37.5","26.4","18.2","35.2"
"CtG4A.1","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Non-Indigenous children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","58.2","58.1","52.1","59.9","54.4","56.2","49.6","54.7","56.7"
"CtG4A.1","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Trajectory","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","..","..","..","..","..","..","..","..","35.2"
"CtG4A.1","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Linear regression estimates","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","41.9","35.1","33.4","31.4","29.7","38.5","27.1","17.8","35.1"
"CtG4A.1","2018 to 2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Estimated annual change","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","%/year","-0.83","0.13","0.19","-0.05","0","-0.70","-0.38","-0.22","-0.22"
"CtG4A.1","2018 to 2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Assessment of progress","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","Level","-1","1","1","-1","0","-1","-1","-1","-1"
"CtG4A.1","2015","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","40.5","35.1","31.6","29.9","30.3","44.5","31.0","17.8","33.8"
"CtG4A.1","2015","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Non-Indigenous children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","56.7","57.8","50.8","57.1","53.0","56.7","50.0","54.8","55.4"
"CtG4A.1","2012","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","37.3","34.1","32.3","27.0","24.8","39.2","32.0","18.7","31.9"
"CtG4A.1","2012","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Non-Indigenous children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","57.2","57.8","49.5","52.6","52.7","55.7","51.0","54.0","54.8"
"CtG4A.1","2009","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Aboriginal and Torres Strait Islander children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","33.4","31.9","21.5","21.1","26.8","37.1","40.6","13.1","25.5"
"CtG4A.1","2009","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","Actual","Non-Indigenous children","","Derived from Australian Government Department of Education Skills and Employment Australian Early Development Census","%","55.8","56.3","42.1","48.3","52.6","53.0","50.9","51.4","51.9"
"CtG4A.2","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","2449","518","2080","716","276","195","42","160","6436"
"CtG4A.2","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","43175","32965","27846","16499","9061","2366","2105","841","134858"
"CtG4A.2","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","6580","1445","6006","2306","963","585","174","949","19008"
"CtG4A.2","2024","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","77591","60811","51924","30141","16652","4653","4724","1743","248239"
"CtG4A.2","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","2432","496","1983","725","295","217","47","163","6358"
"CtG4A.2","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","47624","39064","29541","18699","9866","2729","2568","987","151078"
"CtG4A.2","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","6267","1393","5861","2320","943","566","172","996","18518"
"CtG4A.2","2021","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","83999","67759","55503","31436","17968","5028","5354","1980","269027"
"CtG4A.2","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","2526","453","1814","685","259","196","42","198","6173"
"CtG4A.2","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","50881","40976","29353","18371","9927","2981","2538","1151","156178"
"CtG4A.2","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","5983","1291","5414","2184","892","522","159","1090","17535"
"CtG4A.2","2018","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","87386","70474","56337","30657","18240","5307","5122","2103","275626"
"CtG4A.2","2015","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","2044","388","1572","619","248","241","40","213","5365"
"CtG4A.2","2015","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","48757","38560","29038","17319","9369","3186","2516","1128","149873"
"CtG4A.2","2015","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","5052","1105","4976","2072","818","542","129","1198","15892"
"CtG4A.2","2015","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","86063","66664","57118","30349","17672","5617","5032","2058","270573"
"CtG4A.2","2012","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","1700","285","1343","552","172","180","31","224","4487"
"CtG4A.2","2012","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","48376","36430","26693","15081","8804","3150","2301","1040","141875"
"CtG4A.2","2012","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","4556","835","4161","2041","694","459","97","1201","14044"
"CtG4A.2","2012","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","84643","62999","53926","28686","16717","5654","4514","1925","259064"
"CtG4A.2","2009","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","1241","197","748","369","146","115","41","188","3046"
"CtG4A.2","2009","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","44941","32508","21021","12281","7865","3329","2101","931","124988"
"CtG4A.2","2009","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Aboriginal and Torres Strait Islander people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Aboriginal and Torres Strait Islander children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","3720","618","3472","1745","545","310","101","1435","11949"
"CtG4A.2","2009","Children assessed as developmentally on track in all five domains of the Australian Early Development Census","All people","Non-Indigenous people","All areas","Total number of children in the first year of full-time schooling with a valid 'on track in all five AEDC domains' score","","","Non-Indigenous children","","Australian Government Department of Education Skills and Employment Australian Early Development Census","no.","80539","57792","49914","25445","14953","6276","4127","1813","240885"
"CtG4A.3","2024","Children assessed as developmentally on track in all five domains of the AEDC","Males","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Males","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","29.4","30.9","26.9","23.9","20.6","22.1","20.9","13.1","26.5"
"CtG4A.3","2024","Children assessed as developmentally on track in all five domains of the AEDC","Females","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Females","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","44.7","40.5","42.2","38.1","36.5","44.7","27.7","20.4","41.0"
"CtG4A.3","2024","Children assessed as developmentally on track in all five domains of the AEDC","Males","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Males","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","48.3","46.3","44.2","45.2","45.2","41.0","36.6","37.5","45.9"
"CtG4A.3","2024","Children assessed as developmentally on track in all five domains of the AEDC","Females","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Females","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","63.0","62.1","63.2","64.5","63.4","61.0","52.5","59.4","62.8"
"CtG4A.3","2021","Children assessed as developmentally on track in all five domains of the AEDC","Males","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Males","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","30.7","28.8","26.7","24.9","24.0","28.6","23.4","11.9","27.1"
"CtG4A.3","2021","Children assessed as developmentally on track in all five domains of the AEDC","Females","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Females","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","46.6","42.3","41.3","37.8","38.4","47.0","32.1","20.7","41.6"
"CtG4A.3","2021","Children assessed as developmentally on track in all five domains of the AEDC","Males","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Males","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","48.9","50.1","44.2","50.7","45.5","45.1","39.3","40.6","47.9"
"CtG4A.3","2021","Children assessed as developmentally on track in all five domains of the AEDC","Females","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Females","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","64.6","65.3","62.3","68.5","64.3","63.6","56.7","58.7","64.5"
"CtG4A.3","2018","Children assessed as developmentally on track in all five domains of the AEDC","Males","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Males","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","34.7","26.3","24.7","27.6","21.2","23.9","22.8","12.4","27.6"
"CtG4A.3","2018","Children assessed as developmentally on track in all five domains of the AEDC","Females","Aboriginal and Torres Strait Islander people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Females","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","49.7","43.2","42.5","35.4","37.1","49.8","31.3","23.8","42.9"
"CtG4A.3","2018","Children assessed as developmentally on track in all five domains of the AEDC","Males","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Males","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","50.2","50.0","43.0","51.2","44.4","46.1","42.0","45.1","48.1"
"CtG4A.3","2018","Children assessed as developmentally on track in all five domains of the AEDC","Females","Non-Indigenous people","All areas","Children assessed as developmentally on track in all five domains of the AEDC","","","Non-Indigenous children","Females","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","66.4","66.4","61.6","68.7","64.6","66.3","57.1","63.9","65.4"
"CtG4A.4","2024","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","Major cities","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Major cities","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","39.3","41.6","37.5","31.0","31.6","..","24.1","..","36.9"
"CtG4A.4","2024","Children assessed as developmentally on track in all five domains of the AEDC","All people","Aboriginal and Torres Strait Islander people","Inner regional","Children assessed as developmentally on track in all five domains of the AEDC","","","Aboriginal and Torres Strait Islander children","Inner regional","Australian Government Department of Education Skills and Employment Australian Early Development Census","%","37.3","31.7","33.7","38.6","30.7","30.9","..","..","35.2"
